Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Bahrain,1701583,2021-04-30,176934,10.398199793956568
Bahrain,1701583,2021-04-29,175752,10.328735066111967
Bahrain,1701583,2021-04-28,174659,10.26450076193756
Bahrain,1701583,2021-04-27,173548,10.199208619268058
Bahrain,1701583,2021-04-26,172576,10.142085340532905
Bahrain,1701583,2021-04-25,171370,10.071210161361508
Bahrain,1701583,2021-04-24,170335,10.010384447893522
Bahrain,1701583,2021-04-23,169254,9.946855369382511
Bahrain,1701583,2021-04-22,168201,9.884971817419427
Bahrain,1701583,2021-04-21,167165,9.824087335146155
Bahrain,1701583,2021-04-20,166157,9.76484837942081
Bahrain,1701583,2021-04-19,165118,9.70378759073169
Bahrain,1701583,2021-04-18,164110,9.644548635006345
Bahrain,1701583,2021-04-17,163113,9.585956136139112
Bahrain,1701583,2021-04-16,162089,9.525776879529237
Bahrain,1701583,2021-04-15,160934,9.45789890942728
Bahrain,1701583,2021-04-14,159964,9.40089316830269
Bahrain,1701583,2021-04-13,158789,9.331839822095073
Bahrain,1701583,2021-04-12,157729,9.269544888495007
Bahrain,1701583,2021-04-11,156462,9.195084812201344
Bahrain,1701583,2021-04-10,155402,9.13278987860128
Bahrain,1701583,2021-04-09,154280,9.066851279073662
Bahrain,1701583,2021-04-08,153074,8.995976099902267
Bahrain,1701583,2021-04-07,151931,8.928803355463707
Bahrain,1701583,2021-04-06,150811,8.862982293546656
Bahrain,1701583,2021-04-05,149791,8.803038112157914
Bahrain,1701583,2021-04-04,148817,8.745797295812194
Bahrain,1701583,2021-04-03,147770,8.684266356680808
Bahrain,1701583,2021-04-02,146454,8.606926608928275
Bahrain,1701583,2021-04-01,145380,8.543808912054246
Bahrain,1701583,2021-03-31,144445,8.488860079114566
Bahrain,1701583,2021-03-30,143574,8.437672449713004
Bahrain,1701583,2021-03-29,142669,8.384486680931815
Bahrain,1701583,2021-03-28,141845,8.336061185378556
Bahrain,1701583,2021-03-27,140818,8.275705622352833
Bahrain,1701583,2021-03-26,139953,8.224870605782968
Bahrain,1701583,2021-03-25,139124,8.176151266203293
Bahrain,1701583,2021-03-24,138283,8.126726700960225
Bahrain,1701583,2021-03-23,137550,8.083649166687726
Bahrain,1701583,2021-03-22,136741,8.036105203213713
Bahrain,1701583,2021-03-21,135982,7.991499680003855
Bahrain,1701583,2021-03-20,135326,7.952947343738155
Bahrain,1701583,2021-03-19,134510,7.90499199862716
Bahrain,1701583,2021-03-18,133779,7.862032001965229
Bahrain,1701583,2021-03-17,133137,7.824302428973491
Bahrain,1701583,2021-03-16,132369,7.779167986516085
Bahrain,1701583,2021-03-15,131683,7.738852586091892
Bahrain,1701583,2021-03-14,131001,7.6987722608888305
Bahrain,1701583,2021-03-13,130404,7.663687284134832
Bahrain,1701583,2021-03-12,129825,7.629660145875929
Bahrain,1701583,2021-03-11,129081,7.585936154745316
Bahrain,1701583,2021-03-10,128428,7.547560124895465
Bahrain,1701583,2021-03-09,127800,7.51065331517769
Bahrain,1701583,2021-03-08,127255,7.478624316298411
Bahrain,1701583,2021-03-07,126602,7.44024828644856
Bahrain,1701583,2021-03-06,126126,7.412274335133813
Bahrain,1701583,2021-03-05,125514,7.376307826300568
Bahrain,1701583,2021-03-04,124857,7.337696721229585
Bahrain,1701583,2021-03-03,124269,7.303140663723133
Bahrain,1701583,2021-03-02,123531,7.25976928542422
Bahrain,1701583,2021-03-01,123039,7.230855033224944
Bahrain,1701583,2021-02-28,122394,7.1929491538173576
Bahrain,1701583,2021-02-27,121778,7.156747569762979
Qatar,2881060,2021-04-30,205652,7.138067239141149
Bahrain,1701583,2021-02-26,121127,7.118489077523694
Qatar,2881060,2021-04-29,204976,7.114603652822225
