Location,Population,date,HighestInfectionCount,HighestInfectionCountPerMillion,PercentPopulationInfected
Oman,5106622,2021-04-29,2010,393.607,0.03936065759321916
Oman,5106622,2021-04-30,2010,393.607,0.03936065759321916
Oman,5106622,2021-04-28,2001,391.844,0.03918441584280176
Oman,5106622,2021-04-27,1992,390.082,0.03900817409238436
Oman,5106622,2021-04-26,1983,388.319,0.03883193234196696
Oman,5106622,2021-04-25,1977,387.144,0.038714437841688695
Oman,5106622,2021-04-22,1942,380.291,0.038029053256732136
Oman,5106622,2021-04-23,1942,380.291,0.038029053256732136
Oman,5106622,2021-04-24,1942,380.291,0.038029053256732136
Bahrain,1701583,2021-04-30,646,379.646,0.03796464821287002
Oman,5106622,2021-04-21,1926,377.157,0.03771573458932343
Bahrain,1701583,2021-04-29,639,375.533,0.03755326657588845
Oman,5106622,2021-04-20,1909,373.828,0.037382833505201676
Bahrain,1701583,2021-04-28,632,371.419,0.03714188493890689
Oman,5106622,2021-04-19,1890,370.108,0.037010767587653835
Bahrain,1701583,2021-04-27,626,367.893,0.03678927210720841
Oman,5106622,2021-04-18,1878,367.758,0.0367757785870973
Bahrain,1701583,2021-04-26,625,367.305,0.03673050330192532
Bahrain,1701583,2021-04-25,624,366.717,0.03667173449664224
Kuwait,4270563,2021-04-30,1563,365.994,0.036599389822840694
Bahrain,1701583,2021-04-24,620,364.367,0.036436659275509924
Kuwait,4270563,2021-04-29,1554,363.886,0.03638864477587615
Bahrain,1701583,2021-04-23,617,362.604,0.036260352859660686
Kuwait,4270563,2021-04-28,1546,362.013,0.036201315845241014
Bahrain,1701583,2021-04-22,614,360.84,0.03608404644381144
Kuwait,4270563,2021-04-27,1535,359.437,0.035943738565617694
Kuwait,4270563,2021-04-26,1527,357.564,0.03575640963498255
Bahrain,1701583,2021-04-21,607,356.727,0.035672664806829874
Oman,5106622,2021-04-15,1821,356.596,0.03565958083445377
Oman,5106622,2021-04-16,1821,356.596,0.03565958083445377
Oman,5106622,2021-04-17,1821,356.596,0.03565958083445377
Bahrain,1701583,2021-04-20,605,355.551,0.03555512719626371
Kuwait,4270563,2021-04-25,1516,354.988,0.03549883235535923
Oman,5106622,2021-04-14,1807,353.854,0.035385427000471155
Kuwait,4270563,2021-04-24,1511,353.818,0.03538175177371227
Bahrain,1701583,2021-04-19,600,352.613,0.03526128316984831
Oman,5106622,2021-04-13,1798,352.092,0.03520918525005375
Kuwait,4270563,2021-04-23,1502,351.71,0.035171006726747736
Oman,5106622,2021-04-12,1789,350.329,0.03503294349963636
